country,iso3,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,early,2001,2002,2003,2004,midEarly,2006,2007,2008,2009,mid,2011,2012,2013,2014,midlater,2016,2017,earlyLate,Smoking Population,2020,2021,2022,2023
Not classified,INX,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,,,,,31.2,,,,,27.1,,,,,23.8,,,21.4,21.4,20.8,,,
"Iran, Islamic Rep.",IRN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,,,,,19,,,,,17,,,,,15.3,,,14,14,13.6,,,
Iraq,IRQ,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,20.6,,,,,19.9,,,,,19.1,,,18.8,18.8,18.5,,,
Iceland,ISL,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,,,,,24,,,,,19.1,,,,,15.2,,,12.6,12.6,12,,,
Israel,ISR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,,,,,28.6,,,,,25.9,,,,,23.4,,,21.6,21.6,21.2,,,
Italy,ITA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,,,,,25.3,,,,,24.5,,,,,23.8,,,23.3,23.3,23.1,,,
Jamaica,JAM,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,,,,,14.9,,,,,12.8,,,,,11,,,9.7,9.7,9.4,,,
Jordan,JOR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,,,,,31.7,,,,,32.6,,,,,33.7,,,34.6,34.6,34.8,,,
Japan,JPN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,,,,,29.4,,,,,25.8,,,,,22.7,,,20.5,20.5,20.1,,,
Kazakhstan,KAZ,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2,,,,,30.9,,,,,28.1,,,,,25.4,,,23.5,23.5,23.2,,,
Kenya,KEN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,,,,,16.8,,,,,14.7,,,,,12.8,,,11.5,11.5,11.1,,,
Kyrgyz Republic,KGZ,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,,,,,30.3,,,,,29.4,,,,,28.4,,,27.6,27.6,25.4,,,
Cambodia,KHM,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3,,,,,36,,,,,30.1,,,,,25.2,,,21.9,21.9,21.1,,,
Kiribati,KIR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.5,,,,,60.4,,,,,52.7,,,,,46.4,,,41.7,41.7,40.6,,,
St. Kitts and Nevis,KNA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,30.7,,,,,27,,,,,23.8,,,21.4,21.4,20.8,,,
Kuwait,KWT,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,19.5,,,,,18.9,,,,,18.3,,,17.9,17.9,17.9,,,
Latin America & Caribbean (excluding high income),LAC,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.35960379,,,,,20.67894728,,,,,17.56902041,,,,,15.02998197,,,13.29492604,13.28463494,12.90227735,,,
Lao PDR,LAO,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5,,,,,46.2,,,,,40.5,,,,,35.8,,,32.5,32.5,31.8,,,
Lebanon,LBN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,,,,,39.7,,,,,39.1,,,,,38.7,,,38.4,38.4,38.2,,,
Liberia,LBR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3,,,,,13.6,,,,,11.5,,,,,9.6,,,8.4,8.4,8.2,,,
Libya,LBY,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,LCA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.14262662,,,,,21.39869463,,,,,18.23234625,,,,,15.62626098,,,13.85339098,13.84624005,13.45396966,,,
Least developed countries: UN classification,LDC,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.89123854,,,,,31.53110474,,,,,26.76549408,,,,,22.92343822,,,20.40686474,20.31520401,19.77999395,,,
Low income,LIC,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.79646323,,,,,18.81930578,,,,,16.30466245,,,,,14.23229656,,,12.8095745,12.79511591,12.46394436,,,
Liechtenstein,LIE,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,,,,,26.5,,,,,24.8,,,,,23.3,,,22.3,22.3,22,,,
Lower middle income,LMC,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.28445377,,,,,36.88580958,,,,,31.55189638,,,,,27.27187526,,,24.27670273,24.24982664,23.57771147,,,
Low & middle income,LMY,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.19964164,,,,,30.80984154,,,,,27.83800191,,,,,25.33043035,,,23.54852504,23.51313618,23.09367545,,,
Lesotho,LSO,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1,,,,,28.9,,,,,27.2,,,,,25.6,,,24.4,24.4,24.3,,,
Late-demographic dividend,LTE,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.85613369,,,,,26.76414335,,,,,25.60363729,,,,,24.59524324,,,23.87509716,23.85827832,23.64524593,,,
Lithuania,LTU,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4,,,,,38.9,,,,,36.4,,,,,34,,,32.3,32.3,32,,,
Luxembourg,LUX,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,28.2,,,,,25.6,,,,,23.2,,,21.6,21.6,21.1,,,
Latvia,LVA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,,,,,41.9,,,,,40.1,,,,,38.5,,,37.2,37.2,37,,,
"Macao SAR, China",MAC,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,,,,,20.1,,,,,18.1,,,,,16.2,,,14.9,14.9,14.5,,,
Monaco,MCO,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,,,,,26,,,,,26.9,,,,,27.9,,,28.7,28.7,29,,,
Madagascar,MDG,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7,,,,,40.7,,,,,35.4,,,,,31.3,,,28.4,28.4,27.8,,,
Maldives,MDV,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3,,,,,34.1,,,,,30.6,,,,,27.6,,,25.9,25.9,25.2,,,
Middle East & North Africa,MEA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.18738318,,,,,21.83295235,,,,,20.76682077,,,,,19.94001252,,,19.33418978,19.33379252,19.15823542,,,
Mexico,MEX,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,20.6,,,,,17.7,,,,,15.2,,,13.4,13.4,13.1,,,
Marshall Islands,MHL,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,,,,,28.4,,,,,28.4,,,,,28.4,,,28.4,28.4,28.5,,,
Middle income,MIC,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.89177373,,,,,31.51444721,,,,,28.56735884,,,,,26.09895038,,,24.33520755,24.3130915,23.90237262,,,
North Macedonia,MKD,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,MLI,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3,,,,,13.8,,,,,11.6,,,,,9.9,,,8.6,8.6,8.3,,,
Malta,MLT,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3,,,,,31.4,,,,,28.6,,,,,26.3,,,24.5,24.5,24,,,
Myanmar,MMR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.9,,,,,60.6,,,,,54.6,,,,,48.8,,,45.1,45.1,44.1,,,
Middle East & North Africa (excluding high income),MNA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.88618784,,,,,22.46723099,,,,,21.4731706,,,,,20.68087073,,,20.06159449,20.06095338,19.83982787,,,
Montenegro,MNE,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7,,,,,36.7,,,,,34.9,,,,,33.1,,,31.8,31.8,31.4,,,
Mongolia,MNG,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1,,,,,32.9,,,,,31.6,,,,,30.6,,,29.6,29.6,29.4,,,
Northern Mariana Islands,MNP,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4,,,,,24.5,,,,,20.5,,,,,17,,,14.8,14.8,14.3,,,
Mauritania,MRT,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,,,,,17.9,,,,,15.1,,,,,12.6,,,11.1,11.1,10.7,,,
Mauritius,MUS,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,,,,,24.1,,,,,22.7,,,,,21.4,,,20.5,20.5,20.2,,,
Malawi,MWI,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,,,,,19.5,,,,,16,,,,,13.1,,,11.3,11.3,10.8,,,
Malaysia,MYS,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,,,,,27.5,,,,,25.6,,,,,23.9,,,22.8,22.8,22.5,,,
North America,NAC,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2567298,,,,,29.85811011,,,,,27.10638707,,,,,24.31608383,,,22.37071665,22.36251312,21.941612,,,
Namibia,NAM,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6,,,,,22.3,,,,,19.5,,,,,17.1,,,15.5,15.5,15.1,,,
New Caledonia,NCL,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,,,,,9,,,,,8.4,,,,,7.9,,,7.6,7.6,7.4,,,
Nigeria,NGA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,,,,,7.4,,,,,5.9,,,,,4.7,,,3.9,3.9,3.7,,,
Nicaragua,NIC,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,NLD,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3,,,,,30.6,,,,,27.5,,,,,24.6,,,22.6,22.6,22.2,,,
Norway,NOR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,34.3,,,,,26.7,,,,,20.7,,,17.1,17.1,16.2,,,
Nepal,NPL,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5,,,,,53.5,,,,,43.6,,,,,36,,,31.5,31.5,30.4,,,
Nauru,NRU,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4,,,,,59.2,,,,,55.5,,,,,51.8,,,49.2,49.2,48.5,,,
New Zealand,NZL,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6,,,,,24.3,,,,,20.1,,,,,16.5,,,14.2,14.2,13.7,,,
OECD members,OED,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.12509693,,,,,29.68873615,,,,,26.75125477,,,,,24.09335238,,,22.25647429,22.24096204,21.81762101,,,
Oman,OMN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,7.7,,,,,7.7,,,,,7.8,,,7.9,7.9,8,,,
Other small states,OSS,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.02517256,,,,,26.69220078,,,,,23.43709445,,,,,20.95977859,,,19.38766687,19.37173758,19.0208642,,,
Pakistan,PAK,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,,,,,31.9,,,,,27.4,,,,,23.6,,,20.8,20.8,20.2,,,
Panama,PAN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,,,,,10.5,,,,,8.2,,,,,6.4,,,5.3,5.3,5,,,
Peru,PER,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9,,,,,23.1,,,,,16.3,,,,,11.5,,,8.7,8.7,8.1,,,
Philippines,PHL,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9,,,,,31.6,,,,,28.3,,,,,25.4,,,23.4,23.4,22.9,,,
Palau,PLW,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1,,,,,23.7,,,,,21.4,,,,,19.4,,,17.9,17.9,17.6,,,
Papua New Guinea,PNG,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1,,,,,49.7,,,,,45.9,,,,,42.5,,,39.9,39.9,39.3,,,
Poland,POL,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,35,,,,,30.8,,,,,27.2,,,24.7,24.7,24,,,
Pre-demographic dividend,PRE,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.45284731,,,,,16.43755188,,,,,14.00501734,,,,,12.09467279,,,10.78457215,10.79055129,10.47090577,,,
Puerto Rico,PRI,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. People's Rep.",PRK,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,,,,,25.2,,,,,22.3,,,,,19.6,,,17.8,17.8,17.4,,,
Portugal,PRT,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,,,,,25.3,,,,,25.3,,,,,25.2,,,25.3,25.3,25.4,,,
Paraguay,PRY,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1,,,,,23,,,,,18.2,,,,,14.5,,,12.1,12.1,11.5,,,
West Bank and Gaza,PSE,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific island small states,PSS,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.39771624,,,,,33.73141209,,,,,31.46620207,,,,,29.39156976,,,27.90264438,27.94129904,27.61244636,,,
Post-demographic dividend,PST,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.50398894,,,,,30.97751417,,,,,27.93752377,,,,,25.18347057,,,23.25699254,23.24730042,22.81146301,,,
French Polynesia,PYF,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,13,,,,,12.6,,,,,12.2,,,12,12,11.8,,,
Romania,ROU,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,33.2,,,,,31.4,,,,,29.7,,,28.4,28.4,28,,,
Russian Federation,RUS,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,,,,,31.3,,,,,29.8,,,,,28.3,,,27.1,27.1,26.8,,,
Rwanda,RWA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,,,,,21.3,,,,,18.5,,,,,15.9,,,14.1,14.1,13.7,,,
South Asia,SAS,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.67542544,,,,,44.24476544,,,,,37.27747014,,,,,31.74202348,,,27.88694632,27.88545253,27.06105061,,,
Saudi Arabia,SAU,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,,,,,14.2,,,,,14.2,,,,,14.2,,,14.2,14.2,14.3,,,
Sudan,SDN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,SEN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,11.9,,,,,9.9,,,,,8.3,,,7.1,7.1,6.9,,,
Singapore,SGP,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,,,,,16.5,,,,,16.5,,,,,16.5,,,16.6,16.6,16.5,,,
Solomon Islands,SLB,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,,,,,41.3,,,,,39.6,,,,,37.9,,,36.8,36.8,36.5,,,
Sierra Leone,SLE,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7,,,,,32.6,,,,,24.3,,,,,18.1,,,14.3,14.3,13.5,,,
El Salvador,SLV,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,,,,,13.4,,,,,11.3,,,,,9.5,,,8.3,8.3,7.9,,,
San Marino,SMR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,SOM,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,SRB,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1,,,,,43.7,,,,,42.3,,,,,40.9,,,40.1,40.1,39.8,,,
Sub-Saharan Africa (excluding high income),SSA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.59739626,,,,,14.9683982,,,,,12.82406563,,,,,11.07705399,,,9.875092787,9.86203821,9.576874379,,,
South Sudan,SSD,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,SSF,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.59932874,,,,,14.97018591,,,,,12.82578666,,,,,11.07860032,,,9.876517469,9.863435833,9.57822928,,,
Small states,SST,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.43094378,,,,,25.29882386,,,,,22.36237455,,,,,20.03447233,,,18.5399248,18.53442238,18.19788175,,,
Sao Tome and Principe,STP,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,7.2,,,,,6.6,,,,,6.2,,,5.8,5.8,5.7,,,
Suriname,SUR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
